location_id,name,description,locationYX,website,phone,rating,territory_id
11680066,Gaia Yoresel,,"41.050625,28.99713",http://www.gaiayoresel.com/,+90 212 219 42 72,5.0
22911794,Origami Croissant,,"41.051422,28.997313",,,4.5
3643623,Ihlamur Pavilion,,"41.05085,29.001734",http://www.3dmekanlar.com/tr/ihlamur-kasri.html,+90 212 259 50 86,4.5
13427844,Sinan Pasa Camii,,"41.042366,29.00669",,,4.5
3431961,Akademi Terace Restaurant,,"41.04227,29.00908",https://www.facebook.com/pages/Teras-Cafe-Bah%C3%A7e%C5%9Fehir-%C3%9Cniversitesi/265379920178784,+90 532 386 35 49,5.0
5415133,Kaset Restaurant & Cafe,"Kaset'in kent içinde adeta bir vaha olan 200 metrekarelik huzurlu bir bahçesi var! Önünde sıcak şarabınızı yudumlayabileceğiniz bir şömine, tarihi bir kuyunun üzerine oturtulmuş şövalye masası gibi hoş sürprizler bekliyor sizi. Modern ev konseptine sahip zevkli dekorasyonu, hazırlıkları izleyebileceğiniz açık mutfakla toplayın. Güzel müzikler, nefis lezzetler ve güleryüzlü personel sizi bekliyor.","41.04423,29.006",http://www.kaset.com.tr,+90 212 227 33 69,3.5
6762533,Peri KahvaltI SokagI,,"41.04248,29.00807",,,3.0
2672392,Ziyafet Ev Yemekleri,,"41.0454,29.0026",,2275436,
12279100,Sunrise Istanbul Suites,,"41.04443,29.004929",,,2.0
14913197,Surp Asdvadzadzin Ermeni Kilisesi,,"41.04467,29.00508",http://en.besiktas.bel.tr/entry/surp-asdvadzadzin-church/,+90 212 261 85 17,4.0
21510449,Besiktas Vip Inn Hotel & Suites,,"41.05176,29.007517",,,
21356398,CIMEN BUFE,,"41.04981,28.995564",,+90 541 248 30 98,5.0
3619616,Beer Point,,"41.04229,29.00877",https://www.facebook.com/beer.point.mkr?rf=219162854807745,3275303,1.5
3357891,Manti Keyfi,,"41.04349,29.00677",http://www.mantikeyfi.com,2171187,
11742609,Ferda Cafe,,"41.04884,29.00124",,+90 536 695 66 66,5.0
23590418,Merci Baku,Cozy place with Azerbaijani cuisine,"41.044937,29.004416",http://www.mercibaku.com.tr/,+90 552 553 46 43,4.5
23999191,Unique Garden Cafe,"""Beşiktaş sahilde ailenizle ve arkadaşlarınızla güzel vakit geçirebileceğiniz Unique Garden Cafemizde sizleri ağırlamaktan mutluluk duyarız. Bizleri instagram’da cafemizin ismiyle aratarak bulabilir, güncel gelişmelerden haberdar olabilirsiniz.""","41.04164,29.009998",http://uniquegardencafe.com,+90 532 369 70 29,5.0
23255083,Barbaros Hayrettin Pasa Turbesi,,"41.042206,29.006704",,,4.5
19991861,Pango Besiktas,"Turkey's first mini pancake and crepe store, founded in February 2018.","41.04432,29.00436",http://www.pango.com.tr,+90 507 295 24 53,
20264997,We Residence,,"41.05176,29.00336",,,
3627144,Ihlamur Cami,,"41.05121,29.0049",,,4.0
21351265,Cotto E Crudo,,"41.05318,28.99614",,,
